comment,label
不垫脚是这样的,0.0
远远高人一等。其实当年76人不选我科选ai还是能理解，剩下的高位签球队就不太好理解了。虽然是高中生，但明显实力不俗啊。还好logo有胆识。,0.5
第一个球，隔扣，就看高潮了。这表现，有好身体，有防守，有篮板，有急停跳投，还有人群中干拔,1.0
16岁都比现在很多NBA球员抢一个档次,1.0
波士顿不选我是真不理解，六号签都不敢赌也是没谁了,0.0
这哥们一看就是老球迷，当年确实有这些小故事。我了解的没有这么详细，但是篮网和科比闹掰了这事我确实知道。你既然质疑他，那说说你了解的信息？,0.5
你站在经理的角度想，你就明白了。96届新秀有个“超级六人组”，也就是有6个拥有顶级潜力的新秀，也就是实际上选秀的前6顺位。凯尔特人的6号签是交易来的，他们的目的就是得到超级六人组中的其中一个，谁掉到第6他们就选谁。96年的前6是不可能再往下掉的，这6个人在全美闻名，他们的潜力是所有球队的球探和经理公认的。96年在选秀前就被称作超级大年，就是因为超级六人组。作为拥有前6签位的经理，你在超级六人组里选任意一个，就算这个人再水，那经理也没锅，因为整个美国都说这6个人牛。但如果放掉超级六人组，去选科比。那么只要科比比不过被放掉的那个人，总经理必下课。简单来说就是：选超级六人组，总经理不需要承担任何压力与风险，但用前6顺位选科比，那总经理一个人需要承担全部风险。,0.5
这还是得结合当时的环境来看，76人在95年刚弄来了90年内线状元科尔曼，96年目标就在成名已久外线艾弗森和马布里这两人身上，最终选了艾弗森，坎比是当时大学仅次于邓肯的内线，拉希姆在大一就以新人身份入选十大最佳球员，雷阿伦大学全美最佳阵容，沃克ncaa冠军核心。 这6人已经打出名气且有即战力，当时选秀前六位没有意外就已经被这大学6人组定了。但是6号签的凯尔特人在试训科比后动摇了，可是科比没经历过大学，他们目前最需要的是立即能坐稳球队主力的即战力，而不是一个还没在大学证明过自己且有风险的高中生后卫。但是准备在15位再拿科比，既能选到这6人的任意一个，还能拿到没人重视的科比，如果用6位选科比，那么在15位就不可能选到大学6人组的任意一个了，不得不说绿军这个策略在当时看非常正确，只可惜半路杀出韦斯特在13位给截胡了。,0.5
杀人诛心,0.5
你必须介绍一下，斯塔克豪斯巅峰也是NBA明星级别的得分手，曾经做到单赛季场均30+，不然就以现在这些球迷的看球年龄，分分钟不知道他是谁,0.5
没上过小学，看不懂汉字？96届有6个超级新秀，凯尔特人的6号签是交易来的，目的就是为了选这6个人其中一个。如果要选科比，凯尔特人根本就不会去交易得到6号签。所以你说的凯尔特人6号签选科比，是绝对不可能发生的事，根本不存在愿不愿意赌。要选科比，凯尔特人就没有6号签。正是因为决定了不选科比，凯尔特人才拥有了6号签。,0.0
好像在科比之前，高中生高顺位进nba的只有内线。,0.5
第一球，我还说一个人运半天也不传球。。。当时可能技术还不成熟，结果突然一个加速隔扣。。,0.5
这都听不懂，跟我们国企领导一样，稳稳的过度总好过豪赌么,0.0
事实上96年前六基本上可以说一个都没水，当年经理人的眼光基本没有大问题。,1.0
你看书也只看扉页吗？（那个字读fei）,0.0
那你来说你知道的事实和消息源啊。,0.0
他之前整个历史只有6个高中生进入NBA，其中能打出名堂的只有摩西马龙（非选秀），雨人坎普，凯文加内特,0.5
这腰身，瞎眼可见的历史级水平。以及，爱防守 爱对抗，这属性也是天生的。,0.0
这又洗什么了？本来就是干净的你告诉我洗什么了？,0.0
第二个图看了不说100遍，也有80遍了，但是确实看一次笑一次，你到底是要传球还是上篮啊？这个球就在我面前，我拿还是不拿啊？,0.0
科比参选的时候身材作为后卫其实身高，站立摸高，弹跳这种硬指标已经非常达标甚至优秀了了，只是体重力量还不够。,1.0
重点要不是湖人要求黄蜂选科比，黄蜂压根不会考虑科比,0.5
你看它id，还指望它能了解什么,0.0
只怪科比后续太逆天！13号顺位打出这种成就,1.0
他在反驳你说的二十年无冠，别换话题,0.0
讲道理，高中场均33分的数据，到大学差不了，而且还只刚满18岁，潜力空间太大了，实在不懂不选的理由。,0.5
那可是高中打爆斯塔克豪斯的男人。,1.0
转移话题有一手啊,0.0
"那时候选高中生是一场赌博,身体素质没有完全起来,以后要是起不来就废了,你看小李在高中飞天遁地的,后面这个身体素质不涨了,就没用了",0.5
科比是第一个高中生后卫乐透秀，此前都是高中生内线乐透秀，没有这个先例就没有麦迪的乐透，没有KG、科比、麦迪这些成功先例，詹姆斯就不可能当状元。那个时代，连科比这种瞎眼可见的天赋爆表，都只能13顺位，可想而知高中生选秀多么可怜,0.5
不是，这段话我寻思也不难理解啊,0.0
核心还是因为当时球探系统没现在这么发达，科比真是那种第一眼看到就知道能打出来的逸才。但当时高中生球员比赛看的人都不多，试训也不是每家都去试训,0.5
加内特肯定不算，因为96年选秀的时候，他没参考价值,0.5
不难理解吧？,0.0
logo应该是最强的篮球人，，，球员强 当教练强  当管理层也强,1.0
洗啥了？你就急了,0.0
懂哥你来了,0.0
我就是想说身体素质单薄这点，这是很多优秀高中生上大学之后光速陨落的通病,0.5
毕竟是高中生，还是个后卫，不开天眼的情况下这顺位已经算高了,1.0
这几张背打有点精彩,1.0
夏季联赛穿着魔术师亲自指定的32号球衣，没两把刷子可撑不起这个背号,1.0
降维打击,1.0
第一个那个拉杆真有纵云梯的感觉,1.0
感觉科比夏季联赛的运球已经强过慕斯了啊,1.0
后两点很重要，高中生没人敢选就是因为后两点，一但你肌肉挂不上去，或者挂上去了就影响原本的动态天赋，那就很致命了,0.5
他们说布朗尼夏季联赛水平和科比差不多，科比夏季联赛也不行。我记得科比还和中国队打过一场热身赛，要不让布朗尼来碰一碰？,0.5
我天，蒂格竟然说不如乔治丝滑，眼睛长哪了,0.0
微笑刺客说j博士 魔术师 伯德他们打球从不抱怨，互相鼓励对抗，但是乔丹有体毛哨护身，都不敢防守他。有没有老球迷科普一下，刺客这是嫉妒还是有所依据？乔丹当真碰不得吗？,0.5
要不是我们都看了比赛。。,0.5
要不是我真看过活塞红牛那几年季后赛录像我就信了，你管活塞当时对丹子那些动作叫“碰”？那现在比赛百分之九十九的犯规都吹不了,0.0
也就以赛亚托马斯没资格说这话。哪怕那些年被公牛年年淘汰的巴克利、尤因、普莱斯、帕特莱利说，都行。,0.5
也就是乔丹身子骨好，换个一般的早进医院了,1.0
都不能算犯规了，打架合适一点,0.5
高中买的第一份蓝球杂志看的第一个nba新闻就是尼克斯总裁伊塞亚托马斯性骚扰赔了1000多万刀。。。,0.5
斯托克顿当年被托马斯阴了一下，马龙给了他一肘子，差点没给他打死，不知道他认不认这个是犯规？,0.5
人家只是学猫猫挠了一下,0.5
我们单位一个00后都知道这事，他说梦之队不带着托马斯，他得罪大鸟魔术师等等几乎全队人也只是次要原因，主要是美国队怕他搞事情会被别的国家队打死，兰比尔杜马斯罗德曼可没在身边罩着他。我当时听得一口茶喷屏幕上。哈哈哈哈哈,1.0
最恶心的事情还是隐瞒心脏病情，因为一场常规赛导致马布里见不到他父亲最后一面，刺客这个人品真的无下限。,0.0
打架带个球很正常,0.0
以前真的很担心mj会在被犯规后咬掉自己的舌头,0.0
当球员和教练都是恶人，粗野犯规令乔丹对参加梦一条件有我没他，当尼克斯教练还是总经理来着，隐瞒马布里父亲病情报告让马布里见不到父亲最后一面抱憾终生,0.5
坏小子军团只是变老了，不是变好了,0.5
这是要杀了卤蛋,0.0
刺客真的是场上场外都不是好人，小肚鸡肠，录像都找得到，还睁眼说瞎话,0.0
合着乔丹法则就是乔丹哭着找裁判要哨子是吧,0.0
他老大哥魔术师都跟他反目了，魔术师什么人品懂得都懂,0.0
也就你有本事说这话,0.0
确定不是指桑骂槐吗,0.0
一点也输不起,0.0
往死里干就碰,0.0
没记错的话，托马斯和乔丹是死敌，一辈子都在说乔丹的坏话。,0.0
看了主页转职乔黒啊,0.0
我先来，乔丹吃了时代红利，老詹才是goat,0.0
你托马斯好意思说这话？,0.0
活塞的碰和其他队的不太一样,0.5
托马斯被卡尔马龙一肘砸碎面门真是活该,0.0
托马斯这是积怨很深呐，从没进梦一到现在，基本有机会就喷乔丹，感觉是心里留阴影了,0.5
都把人家打出血了，没打死都算人家运气好，还搁这放屁另外刺客真的人品有问题，很多人不喜欢他,0.0
试着把丹子的名字换成另一个人，你会发现更是恰到好处,0.5
说起碰不得和打报告，印象中最深刻的是2016年总结赛，有人打报告可以上诉追恶犯，2023.1.29事件的保驾护航，闻所未闻,0.5
帮主：看你一眼算我输,0.0
他也就知道乔丹压根不会理会他说啥，当年魔术师都承认是自己不愿意他入选梦一，结果他还是逮着乔丹说，乔丹干脆你说是那就是吧,0.0
托马斯就是一个垃圾，十足的垃圾，,0.0
问题是托马斯都不确定是不是乔丹不让他进的，就死咬着是乔丹，其实整个梦一大部分的人都不喜欢他,0.0
丹子再不投诉你们都要上器械了……再说他也没投诉啊,0.0
刺客先前可是一直吹乔！跟他比，我们打球好像高中生！高中生嘛，球打不过乔丹就把乔丹打倒，很合理！98总决赛最后一投之后乔丹是真正的GOAT！可乔丹一直不理他，尤其是在《最后之舞》中乔丹仍旧憎恨他，并称他为混蛋后又开始抹黑乔丹了！你们坏小子军团只是碰乔丹？如果只是碰，你们又有什么不好意思承认《乔丹法则》的存在呢？,0.5
那个活塞队球迷看着有点意思，场上球员肯定都不喜欢，太脏了，真有点是自由搏击顺便打个球的感觉,0.0
不是人的怎么会有人品,0.0
要不是人家亲自打了比赛。,0.5
除了教练没人想要他,0.0
刚好近期通过油土鳖看了一些公牛活塞的季后赛，按正常的规则，很多球看着防守犯规的，结果都没吹甚至有些球吹罚乔丹进攻犯规，很是离谱；,0.5
哦哦……不愧是前辈，以前我以为这么不要脸的NBA只有一个人……,0.0
是啊，每次和詹姆斯打比赛，都有人在摇花手,0.5
我倒是看到有人跪着要犯规,0.0
刺客的人品举世皆知,0.0
乔丹赢少输多啊,0.0
科比：你再说一遍。,0.0
托马斯的球品人品都极度的差，,0.0
活塞都能碰出wwe动作,0.0
打不过提前退场，丝毫不尊重对手，真的low。还有活塞那是打篮球？打人顺便带个球罢了，以为大家没看过录像啊,0.0
托马斯这要不是说的乔丹，我还以为是,0.0
这样说只会让自己显得很无能吖，碰都不能碰的球员你们每一次都几乎恶意犯规,0.0
丹子：只能说活着就好,0.0
收皮啦，托家铲,0.0
主要怕影响美国形象,0.0
托马斯肯定恨乔丹啊。不单是因为乔丹结束了他们的王朝。其实他们根本不算啥王朝，2冠而已罢了。更是因为乔丹取得了他们这代球员前所未有的成功，无论是成绩上，还是商业上。即使你战胜过乔丹好几次又怎么样。最后的赢家依然是乔丹，赢到最后的才是最美的,0.5
伯德和魔术师说过类似的话 乔丹前期是被恶犯很多，后期本来就是巨星哨很多,0.5
这几个真该禁赛……太夸张了,0.5
放屁，我们看过比赛,0.0
魔术师那个就是典型的开玩笑而已。这所谓的后期是啥时候呢？巨星哨很多的话，怎么就有限制乔丹单打的规则出台和取消呢？,0.5
不让托马斯进国家队真是对了,0.5
这人是最没资格说这话的，也就乔丹不跟你他一般见识，你看马龙惯毛病么,0.0
所这种打了比赛还说瞎话的，该怎么定义呢,0.0
当时就差没把乔老板打死，也就乔老板身体素质好。,0.0
老张粉丝吧,0.5
没进去梦一,0.5
托马斯不会这么说的。自己编的吧，楼主舞剑，，意在沛公？,0.0
我觉得如果是其它人用乔丹的方式和那支两连冠活塞对抗，能不能全须全尾走下赛场都两说,0.0
这就纯是个人恩怨了 瞎扯,0.0
难怪乔丹非常讨厌他，信口雌黄。,0.0
事实如何且不说，起码托马斯也认为摊手要哨子，打小报告是丢人的,0.5
说的谁？,0.5
很多人以为恶意犯规出台以后的活塞：战战兢兢打球，在不能打人的情况下，连球都不会打了。,0.5
乔丹有没有我不知道，但我还真知道有个人是这样的,0.5
兰比尔表示可以,0.5
没听过 有没有违例被吹罚的图来两个,0.5
围殴更确切,0.0
如果乔丹碰不得，乔丹早就翻过活塞这座大山了。,0.5
活塞是奔着杀人去的，犯不法规根本不值一提,0.5
兰比尔那种给我一下，我估计当场去世了,0.0
舌头灵活就不会，被犯规后就立刻吸溜一下缩回去,0.0
所以马龙也只是“碰了”你一下,0.5
欺负人罢了，马龙一肘子差点把他干死，看他还敢不敢脏人,0.0
真是麻痹的不要脸，，，，，看不下去 了 ，，,0.0
尼玛活塞打球跟少林篮球似的，当时联盟公认公敌，坏孩子军团。就应该多吹吹哨,0.0
没听过就是你孤陋寡闻了。稍微了解NBA历史的都知道这个法则，我没有义务向你科普，我的目的仅仅是在论坛留言让更多的人看到就行了。这个出台的时间点和取消的时间点真的是值得玩味。,0.5
活塞属于打架带个球,0.5
其实是保护乔丹法则，这不就是清空篮下帮助突破,0.5
希望我詹在多打几年，这乐子真多,0.5
多少真心话是一玩笑形式说出来的，而且是在梦之队拍定妆照那种场合,0.5
我们没有眼瞎,0.0
中文看不懂吗？这么简单的阅读都能理解歪？我再发一遍，让更多的人有机会看到。,0.0
梦一被其他球员联合抵制的是不是这个，还是杜马斯，分不清了,0.5
有一段时间想吹乔丹，结果乔丹没叼他，怨念更深，更没好话了。,0.5
明明可以杀人，非得带个球，格林在活塞都能算是洁癖球员,0.0
谁都能说，就活塞和托马斯没资格说，那是正常打篮球什么动作吗？真不要脸了,0.0
真当录像带都是文物不能看了是吧,0.0
可惜啊，史上最大的乔吹，大鸟和魔术师各算一个。,0.0
如果那是碰的话，那NBA历史上就几乎没有犯规了,0.5
要透过现象看本质 哥们，别看人怎么说 要看他怎么做，随便编两句就把你忽悠了 字里表达的未必是表面含义 否则就不用考阅读理解了。NBA靠乔丹赚百亿 一飞冲天 嫌钱太多了吗限制乔丹,0.5
我记得有一个球极其恶劣把丹子放倒  托马斯在地上还示意着是个争球·,0.5
一码归一码 说体毛哨跟承认乔丹伟大不冲突啊。我说个事实怎么就是黑了,0.5
尼玛，都快把人打进ICU了,0.0
哈哈哈哈 有画面感了,1.0
乔丹哨子是加强版的常规赛哈登和恩比德，不过也是当时极致造神的需要，连魔术师大鸟都公开调侃合照时不能离他太近，因为裁判会吹犯规,0.5
那个能打老虎打黑熊的可不可以,0.5
乔丹直接放话，梦一里有我没他,0.0
连续三年虐丹子，后来大伤以后，丹子才赢他一次，你说谁输不起？,0.0
所以你去找乔丹复仇就行了，你暴打斯托克顿干嘛？最后被马龙一肘干翻。,0.0
以赛亚托马斯自己是什么货色自己心里没数么，叫它“微笑刺客”真是玷污这个词,0.0
我们一般管这叫“碰”的,0.0
乔丹法则只能叫碰的话，现如今NBA的防守简直就是幼儿园体毛摸摸了，估计这话也就骗骗00后网络喷子了。,0.0
格林废过几个人啊？,0.0
我以为你说的是山羊,0.5
詹詹连托马斯都开始买了,0.0
杀人啦杀人啦,0.0
真小人就是比瘾君子强,0.0
就那种程度的犯规，换其他人不止进医院，搞不好直接赛季报销或者原地退役了。我就看过一些片段，妈呀，那根本不是冲着球去的，就是纯粹冲着人去的,0.5
还真不是，托马斯属于看到乔丹的名字就应激。梦一队就开始搞了。,0.5
是不是蹭不到流量就撕破脸了,0.0
你还真信了啊,0.0
马布里老爸比赛前去世了，托马斯瞒着马布里等他比赛打完才告诉他，就这一条天人共愤，后面托马斯还好意思泼马布里脏水，这种人搁我们这球迷都得打死他,0.0
放几张图，然后放几句话？,0.0
就是最后一舞说他是混蛋，刺客觉得自己被公开这么说觉得很丢脸啥的，然后就开始了。一会说詹姆斯是goat一会说贾巴尔是goat。,0.5
啊？这不是在反串那么？,0.0
脸都不要了 ,0.0
刺客说的应该nba的现役乔丹,0.5
主要是里克马洪和，这个才是真正的金牌打手。兰比尔罗德曼这种也就是仗着里克马克华菲狐假虎威。至于杜马斯，他反而相对文明点。,0.5
主要是里克马洪，这个才是真正的金牌打手。兰比尔罗德曼这种也就是仗着里克马克华菲狐假虎威。至于杜马斯，他反而相对文明点。,0.5
赢球密是这样的了，不是真的喜欢篮球,0.0
没废过都是点到为止,0.5
三岁小孩都不至于这么碰不得吧！,0.0
看他怂样就知道了，要他像我一样发詹姆斯的比赛，一堆借口！,0.0
“我们铁血硬汉就这么打篮球的，你看不看吧”,0.0
又开始了，托马斯什么人品，问问马布里就知道了，马龙当时给他一肘真的不过分。,0.0
托马斯：众所周知我是一个汽车维修工，带个锤子啥的很合理吧,0.0
是的，要我是马布里，不当场打死他,0.0
活塞没人说这话，除了和一众大佬都有私人恩怨的，被排挤了的托马斯,0.5
撩阴腿，击小腹，后脑袭击，扣眼珠子。说活塞不会武术我是不信的,0.5
说的跟那谁似的,0.5
对手对乔丹的动作放老张身上，肖华办公室的门都能被詹密踏破,0.5
这都热榜？,0.0
要是托马斯和詹姆斯一起打过球,0.5
卑鄙小人托马斯！,0.0
稍微碰了下？？？？要不你们带个刀稍微碰下吧,0.0
有没有可能他说的是name,0.5
不会有人信这种鬼话吧,0.0
活塞就差每把他打死,0.0
按现在的犯规吹罚标准，乔丹经历的根本不是犯规，而是谋杀,0.5
托马斯他打别人行，别人打他场下对着教练暴跳如雷，太碰不得了,0.5
退役前你可以说是球场恩怨 退役后就在尼克斯对马布里的所作所为就是个人渣 送个图给刺客,0.5
我觉得换其他人，至少也要有心理阴影。也就是乔丹，一次次被摧残之后居然还敢还能一次次杀进去，充分展现了什么叫不屈的精神,1.0
刺客也配说这种话，看看自己有多脏,0.0
就是刺客托马斯，杜马斯是那支活塞队里少有的防守比较干净的,0.5
事实上伯德也说过类似的话，“拍照别凑乔丹这么近，太近要被吹犯规的”,0.5
以赛亚有资格说这话?乔丹都快被活塞打死了,0.0
梦一的事情不是因为粗野犯规，而是公牛好不容易翻过活塞，托马斯直接回更衣室了，这点激怒了丹子,0.5
你看过乔丹活塞比赛？别搁这儿瞎吹，你多大？,0.0
你活塞什么队，能说出这种话的，球迷从来都是讨论谁个球员多脏，历史最脏球队是哪只从没有过一滴滴讨论余地,0.0
你看过乔丹活塞比赛？那你说说89年两队打了几个加时？,0.0
美国人真都这样，当他说你恶意犯规的时候，你最好真的黑,0.5
都以为大家没看到过视频？,0.0
你看得到啥呀,0.0
活塞是不是有个打篮球其实是为了去教训黑人的,0.5
已经掏鸟窝了！,0.0
你要真看过就不会这么片面了，人家托马斯的意思是 你乔丹又不是什么冰清玉洁的黄花大闺女，大家都互相上强度，你哨子还更多，你是怎么好意思跑去打小报告的？合着只有你乔丹给别人上强度，别人就不能放手你？,0.5
乔丹也不是圣人,0.0
只能乔丹给人上强度，不然怎么捧得起来，必须修改规则,0.5
我只见过跪着要的,0.0
不要片面看待，人家托马斯的意思是 你乔丹又不是什么冰清玉洁的黄花大闺女，大家都互相上强度，你哨子还更多，你是怎么好意思跑去打小报告的？合着只有你乔丹给别人上强度，别人就不能防守你？,0.5
真是不要脸，别人球队是对抗大，活塞冲着杀人去的，垃圾。,0.0
爆头届goat 迈克尔乔丹。看问题要多维度，人家托马斯的意思是 你乔丹又不是什么冰清玉洁的黄花大闺女，大家都互相上强度，你哨子还更多，你是怎么好意思跑去打小报告的？合着只有你乔丹给别人上强度，别人就不能放手你？,0.5
不是乔丹不让托马斯进梦一的，是魔术师。前几年魔术师接受采访自己承认的。,0.5
托马斯的意思是 你乔丹又不是什么冰清玉洁的黄花大闺女，大家都互相上强度，你哨子还更多，你是怎么好意思跑去打小报告的？合着只有你乔丹给别人上强度，别人就不能防守你,0.5
你恨不得挂人家身上当挂件,0.0
所以乔丹魔术师大鸟讨厌他是有道理的。在那信口开河造谣。,0.0
所以找了五个动图，有几个和活塞有关的，活塞怎么对乔丹的？乔丹怎么对活塞的？你对我恶犯十下，我对你不允许一下恶犯，是这意思吗？,0.0
为啥要扛？加入不香吗？,0.0
要是乔杜马斯说这话还有情可原,0.5
别人不能防守指的是公牛直到91年恶意犯规出台才在罚球数上超越了活塞。这个所谓的“偏袒”乔丹的法则，到了总决赛还是让公牛的罚球落后于湖人,0.5
会上网吗？,0.0
不光看过活塞公牛季后赛，还看过奥拉朱旺辛普森双塔总决赛对阵凯尔特人，活塞总决赛对阵湖人等很多，大部分youtube有完整录像，加上我爸也看球，像乔丹六次冠军总决赛录像家里也有光盘，当然只是看个篮球比赛而已并没有啥值得优越的，所以我也不懂NBA篮球比赛这也不是啥机密文件，我看过你又有什么好难以置信的？,0.5
那为什么詹和杜瓜这俩fiba bug位置重叠 还能在图上啊,0.5
有科比在的美国队，一场比赛也没输过，包括队内训练赛，这赢的效率不高吗,1.0
你科比有奥运会铜牌吗,0.0
詹姆斯能入选，还能排c位，这家媒体的投资人是谁是看都不用看就知道,0.0
因为双标而且想强行多带一个人呗,0.0
那06年呢,0.5
铜牌多吧，美国队历史拿铜牌最多的人,0.5
这两的防守强度比的上科？,0.5
说实在的，科比和乔丹重合 选乔丹 能理解，但这三个小前锋前锋又不重合了？ 这种能打 三 四号位的 有冲击力更强 还能内线硬刚的 巴克利， 能打一.二号位 突破能力 防守能力更强的韦德 ， 论梳理进攻组织 有魔术师。这哪一个不比某人合适，一个连战术都跑不明白，说好听是全能，难听一点不就是什么都不会 什么都不精。唯一专精点 就是加在媒体投票上面了吧。 ,0.5
别人说数据，你说胜负，你什么意思？,0.0
老张一场比赛3个幽默名场面，凭什么不是C位,0.5
可能凭的是全队第二的15.5分，外加全队第三的5.3篮板全队第二的3.8助攻全队第一的2.4抢断，外加60命中率46三分率吧。,0.5
铜牌 领军人物，美国队中难得嘛,0.5
对呀，厉害的这么多，怎么也轮不到拿两个铜牌的吧,0.5
就是，还是两块。。。。科比一块都没,0.5
数据比胜负比带队金牌的能力还重要？ 没有科比的发挥，08年美国队就是一个银牌。,0.5
这没办法，谁让他的位置跟乔丹重叠,0.5
这里面把lbj换成巴克利比较好。中锋其实我觉得奥尼尔更可怕,0.5
所以中间那位有什么高光时刻吗,0.5
想笑,0.0
科比效率是美国男篮奥运会史最低，能上都怪了,0.5
甜瓜奥运的时候经常打大前，杜是小前，至于剩下那个，只能说三流媒体的评分看不懂,0.5
铜牌也能上C位，没有能拿出手的吗？,0.0
哪一个知名媒体？,0.5
